"State or Nation","Overall Rating","Health Inspection Rating","QM Rating","Staffing Rating","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to walk independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of long stay residents with pressure ulcers","Percentage of long stay residents with new or worsened bowel or bladder incontinence","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
OK,2.7,2.8,2.8,2.6,6.6,2.3,8.3,2.2,7.8,3.8,61.2,2.53,0.91,0.33839,1.25,3.78411,3.43470,0.28,0.02,55.5,53.6,0.6,1.16780,0.56686,3.19391,2.83146,1.1,21196,13.551659,3.267917,1.889281,2.754604,3.350478,0.078569,4.684436,90.955144,17.481732,75.813976,1.808596,13.656015,25.678570,94.619517,74.143983,4.744869,17.130890,27.338934,16.571273,2.306401,2.962077,2026-07-01
OR,3.1,2.8,3.5,3.8,9.3,3.5,12.6,4.3,12.0,4.3,58.1,3.40,0.91,0.73051,1.64,5.04191,4.51435,0.49,0.09,47.4,51.6,0.6,1.31331,0.63749,3.59187,3.18426,0.8,26899,14.917400,4.663496,1.426874,1.991894,4.898178,0.144072,2.442431,95.212656,13.945521,85.584843,1.370551,20.612355,12.439296,95.216340,81.213732,5.782605,21.779985,21.352047,16.140271,1.480804,2.353280,2026-07-01
PA,3.0,2.8,3.6,3.0,10.1,3.6,10.8,4.1,10.7,4.0,104.7,2.19,0.91,0.78955,1.70,3.88920,3.53058,0.56,0.10,44.5,39.9,0.6,1.41209,0.68544,3.86205,3.42378,0.8,25733,16.772999,6.156882,0.705821,1.451987,10.787599,0.157361,3.149510,87.528453,17.749051,70.031487,1.418058,17.025510,20.016561,93.527075,68.732550,4.825039,25.546603,22.526446,9.540482,1.617483,1.178277,2026-07-01
PR,2.9,2.8,,3.2,7.0,8.6,29.4,13.1,10.8,11.8,26.7,0.00,0.66,3.21526,3.87,3.87236,3.04346,2.44,0.47,35.7,35.7,0.3,1.30872,0.63526,3.57933,3.17313,0.2,4537,,,,,,,,,,98.011492,0.343438,,,,97.871754,,,,,,,2026-07-01
RI,2.9,2.9,3.1,3.2,8.8,1.7,9.3,2.1,10.0,1.9,98.3,2.46,0.49,0.76327,1.26,3.71423,3.33697,0.55,0.06,40.6,37.9,0.4,1.36766,0.66387,3.74052,3.31604,2.1,67412,19.558709,5.061872,0.851727,2.540817,17.240819,0.054136,3.642458,94.086246,22.799208,79.031921,1.980020,16.840884,16.697344,95.238171,78.163385,4.156475,22.287055,24.276400,14.639092,1.594759,1.678490,2026-07-01
SC,3.0,2.9,3.5,3.0,3.6,0.6,4.6,0.9,4.5,0.7,92.1,2.19,1.02,0.62910,1.65,3.83481,3.33009,0.41,0.08,45.9,42.1,0.3,1.32053,0.64099,3.61162,3.20176,1.1,14338,11.939843,6.306032,0.611325,1.295048,3.100095,0.134907,3.169225,91.682923,15.317169,81.472126,1.472400,12.703079,21.001237,90.621978,78.042548,5.121863,16.718401,24.321550,13.936129,2.039822,1.838952,2026-07-01
SD,2.9,2.8,2.8,3.6,7.0,1.4,6.5,1.3,3.4,1.5,52.1,2.53,0.48,0.80080,1.28,3.80699,3.27684,0.51,0.05,48.2,34.7,0.3,1.24764,0.60561,3.41227,3.02504,1.6,32146,21.348745,5.604725,2.069141,2.916264,5.708220,0.024513,5.490190,94.945672,24.610845,83.539856,1.969830,19.357049,17.415927,96.912570,78.184976,4.555689,25.360531,19.934701,12.028129,1.516327,1.750425,2026-07-01
TN,3.0,2.9,3.6,2.4,5.1,3.8,4.8,2.8,4.7,2.8,84.0,2.12,1.09,0.59750,1.68,3.80101,3.30415,0.39,0.08,48.9,43.2,0.6,1.48782,0.72219,4.06915,3.60737,0.5,24540,14.028148,6.080689,0.697215,1.762491,13.837149,0.078359,3.404940,89.439148,16.849260,79.301540,1.655257,17.222675,31.702447,94.483473,79.783716,4.988355,19.969107,22.607457,11.209196,1.674210,1.560024,2026-07-01
TX,2.7,2.8,3.7,1.9,9.1,3.1,9.4,3.0,9.0,2.3,75.7,2.01,0.95,0.43447,1.38,3.38617,2.97854,0.34,0.07,55.3,54.6,0.7,1.38864,0.67405,3.79790,3.36690,1.6,48442,15.841367,3.024741,0.342064,0.825260,2.384493,0.033713,3.273972,96.519999,9.570503,88.867215,1.490120,14.015995,18.006736,97.951749,88.027981,3.786888,13.420828,25.700105,12.252035,2.172841,2.067194,2026-07-01
UT,3.3,2.8,4.6,3.0,8.5,2.2,8.8,2.4,9.4,1.8,60.9,2.35,0.48,1.24755,1.72,4.07030,3.56392,0.88,0.11,50.7,40.6,0.5,1.49935,0.72779,4.10070,3.63534,0.9,25208,11.251795,3.355096,0.728722,1.820498,16.497287,0.053664,2.512206,97.442186,14.188714,93.755583,0.903411,15.119061,25.305441,98.040759,90.956051,3.928366,21.543437,16.547136,11.579494,1.245757,1.425868,2026-07-01
VA,3.0,2.8,3.9,2.4,14.4,2.8,12.7,4.6,11.8,4.6,99.6,2.08,1.00,0.69430,1.69,3.77084,3.29735,0.46,0.09,48.1,48.2,0.6,1.45438,0.70596,3.97771,3.52630,0.6,21642,14.853224,5.408856,0.423348,1.613257,18.692228,0.133854,3.569784,90.891028,14.243129,73.735336,1.271494,15.572783,20.605832,93.956400,73.637997,4.674032,21.816559,22.339825,11.511866,1.517418,1.481403,2026-07-01
VT,2.9,2.8,2.8,3.3,8.7,0.7,9.1,0.8,10.2,1.9,74.1,2.54,0.88,0.80031,1.68,4.22030,3.66106,0.52,0.11,55.4,39.9,0.6,1.38226,0.67095,3.78046,3.35144,1.3,92507,19.293409,6.624198,0.669347,2.411669,13.004256,0.097159,5.885821,94.879897,19.946294,83.440916,1.127839,17.430326,16.399180,97.547304,78.450394,5.256933,26.841314,21.971821,17.915963,1.522989,2.884134,2026-07-01
WA,3.2,2.8,4.0,3.6,16.2,10.4,18.1,11.0,15.3,11.5,76.0,2.67,0.77,0.94138,1.71,4.37495,3.81053,0.67,0.09,45.4,45.7,0.6,1.46641,0.71180,4.01059,3.55546,1.2,54105,14.219155,5.525524,0.967312,1.570080,17.683205,0.141507,2.580964,95.953441,15.125333,88.309598,1.267145,17.220345,12.417080,93.842072,81.983185,4.288234,22.513617,19.881548,13.379034,1.330019,1.520621,2026-07-01
WI,3.0,2.8,3.1,3.6,9.6,6.4,9.8,6.8,8.1,5.8,54.8,2.58,0.64,0.99234,1.63,4.21602,3.76933,0.68,0.06,46.9,39.7,0.5,1.39911,0.67914,3.82655,3.39230,0.9,42694,16.121260,5.058959,2.093541,2.653429,5.684540,0.062760,3.272766,95.737321,15.827485,86.502252,1.209705,18.437542,16.940263,94.975038,82.213890,5.007819,24.604403,23.092400,15.485594,1.663897,2.287851,2026-07-01
WV,3.0,2.9,3.6,2.6,11.9,2.9,15.2,3.5,14.8,2.6,78.4,2.04,0.90,0.73027,1.63,3.66455,3.17192,0.40,0.04,44.1,42.3,0.7,1.46879,0.71296,4.01712,3.56125,0.8,28825,14.723592,6.331868,0.378246,1.550808,7.642416,0.169153,4.428208,96.350262,13.367677,79.089222,1.046206,15.906191,26.985951,97.552785,79.421705,4.153002,22.052496,22.451459,11.335558,1.797449,1.836018,2026-07-01
WY,3.0,2.8,3.3,3.6,7.4,5.9,6.5,5.0,6.6,6.7,55.6,2.43,0.50,0.93947,1.44,3.86766,3.36560,0.64,0.03,51.8,44.1,0.6,1.23010,0.59709,3.36429,2.98250,1.1,22092,16.831187,5.939206,1.494552,3.052576,6.518242,0.131592,4.665694,94.255789,21.821442,76.999337,1.175815,15.267552,15.440673,94.311740,77.018715,4.605058,22.686432,18.914846,16.679830,1.289203,2.269062,2026-07-01
